item_url,title,ingredients,cooking_time,nutrition_facts,publish_dates,timestamp,category
https://www.simplyrecipes.com/homemade-coffee-creamer-recipe-8363223,Homemade Coffee Creamer,"['4 cups whole milk, divided (or your milk of choice)', '1/2 cup dark brown sugar (or your sweetener of choice)', '2 teaspoons vanilla extract (or vanilla bean paste)']",5 mins,{'N/A': 'N/A'},"['Updated February 05, 2025']",2025-03-22 16:19:03,Drinks
https://www.simplyrecipes.com/hummus-soup-recipe-8285957,Hummus Soup,"['2 (15-ounce) cans chickpeas, drained and rinsed (3 heaping cups), divided', '8 medium garlic cloves, peeled', '3 tablespoons olive oil, divided', '1 3/4 teaspoons kosher salt, plus more to taste', '1 1/2 teaspoons ground cumin, divided', '1 large yellow onion, chopped (about 1 3/4 cups)', '4 small carrots, peeled and coarsely chopped (about 1 1/2 cups)', '4 cups vegetable broth', '1 cup water, plus more as needed', '1/3 cup tahini', '3 tablespoons fresh lemon juice (from 2 lemons), plus more to taste', '1/4 cup chopped fresh flat-leaf parsley']",60 mins,{'N/A': 'N/A'},"['Updated August 01, 2024']",2025-03-22 16:19:04,Dinners
https://www.simplyrecipes.com/nilagang-baka-filipino-beef-stew-recipe-8286046,Nilagang Baka (Filipino Beef Stew),"['2 pounds beef chuck stew meat (cubed), or beef sirloin, cubed', '2 pounds beef short ribs', '1 teaspoon baking soda', '2 tablespoons vegetable oil', '1 large white or yellow onion, chopped', '2 cloves garlic, minced', '2 green onions, chopped, white and green parts separated', '10 cups water, or enough to fully cover the meats and vegetables', '1 tablespoon fish sauce, like Red Boat', '2 medium yellow or white potatoes, (5 to 10 ounces each), peeled and quartered', '1 medium carrot (about 3 ounces), peeled and sliced', '8 ounces green beans, trimmed and cut into 2-inch pieces (about 2 cups)', '1/4 pound green cabbage, cut into 8 wedges', '1/2 teaspoon kosher salt', '1/4 teaspoon ground black pepper', '4 cups steamed rice, optional', '1/4 cup fish sauce']",6 hrs,{'N/A': 'N/A'},"['Updated October 28, 2024']",2025-03-22 16:19:05,Dinners
https://www.simplyrecipes.com/steak-tips-recipe-7972730,Steak Tips,"['1/2 cup ketchup', '1/4 cup red wine vinegar', '1/4 cup extra-virgin olive oil', '1/4 cup water', '4 ounces Coca-Cola', '1/2 tablespoon Worcestershire sauce', '1/2 tablespoon garlic powder', '1/2 tablespoon oregano', '1 3/4 teaspoon Diamond Crystal Kosher Salt (or 1 teaspoon Morton Kosher Salt), plus more for your seasoning', '1/2 teaspoon black pepper', '2 pounds steak tips, cut into 2-inch pieces', 'Canola oil, for searing', '2 tablespoons finely minced parsley, for serving (optional)']",2 hrs,{'N/A': 'N/A'},"['Updated December 20, 2024']",2025-03-22 16:19:07,Dinners
https://www.simplyrecipes.com/budae-jjigae-army-base-stew-recipe-7969733,Budae Jjigae (Army Base Stew),"['2 tablespoons gochujang', '2 tablespoons soy sauce', '2 tablespoons mirin', '2 tablespoons gochugaru', '1 tablespoon fish sauce', '2 teaspoons granulated sugar', '2 ramen spice packets', '4 cloves garlic, grated', '1 cup rice cakes (sliced oval coins, fresh or frozen)', '2 green onions', '1 cup kimchi', '1/4 cup napa cabbage', '8 ounces enoki mushrooms', '1 (4.6-ounce) can Vienna sausages, drained', '1 (12-ounce) can Spam', '12 ounces firm tofu, drained', '1/2 cup canned pork and beans or baked beans', '6 cups chicken broth', '2 package instant ramen (preferably spicy)', '1 to 2 slices american cheese', '3 cups steamed rice']",55 mins,{'N/A': 'N/A'},"['Updated February 26, 2025']",2025-03-22 16:19:08,Dinners
https://www.simplyrecipes.com/carne-picada-recipe-7972483,Carne Picada,"['1 1/2 tablespoons all-purpose flour', '1/2 teaspoon kosher salt', '1/2 teaspoon freshly ground black pepper', '2 pounds chuck roast, excess fat removed, cut into 1-inch cubes', '2 tablespoons neutral oil, like canola or avocado, plus more as needed', '1 (6-ounce) can tomato paste', '5 cloves garlic, peeled', '1 red bell pepper, stem and seeds removed', '1/4 yellow or white onion (reserve the rest for the braise)', '1/4 cup fresh cilantro', '1/2 teaspoon ground cumin', '1/2 teaspoon dried Mexican oregano', '3 cups beef broth', '1 tablespoon neutral oil', '1 red bell pepper, thinly sliced', '1 green bell pepper, thinly sliced', 'Remaining 3/4 yellow or white onion, thinly sliced', 'Salt and pepper, to taste']",4 hrs,{'N/A': 'N/A'},"['Updated February 26, 2025']",2025-03-22 16:19:10,Dinners
https://www.simplyrecipes.com/one-pot-mac-and-cheese-recipe-7964109,One-Pot Mac and Cheese,"['2 tablespoons unsalted butter', '24 (76g) Ritz crackers, crushed (about 1 cup plus 2 tablespoons)', '1/8 teaspoon freshly ground black pepper', 'Pinch kosher salt', '1 tablespoon unsalted butter', '1/2 teaspoon ground mustard', '1/2 teaspoon freshly ground black pepper, plus more to taste', 'Pinch cayenne (optional)', '4 cups water', '2 cups half and half', '1 teaspoon kosher salt, plus more to taste', '1 pound elbow macaroni', '4 ounces cream cheese, cubed and at room temperature', '8 ounces sharp cheddar cheese, freshly grated (about 2 packed cups)', '4 ounces Monterey Jack cheese, freshly grated (about 1 packed cup)']",85 mins,{'N/A': 'N/A'},"['Updated February 11, 2025']",2025-03-22 16:19:11,Dinners
https://www.simplyrecipes.com/johnny-marzetti-casserole-recipe-7969469,Johnny Marzetti Casserole,"['12 ounces mushrooms, cleaned and chopped or sliced', '1 tablespoon olive oil or neutral cooking oil', '1 large onion, chopped', '5 cloves garlic, minced', '1 bell pepper (any color), seeded and cored, finely chopped', 'Salt, to taste', '1 1/2 pounds lean ground beef (90:10 is good)', '1 (28-ounce) can whole plum tomatoes in juice', '3 tablespoons tomato paste', '3/4 teaspoon dried oregano', '1/4 teaspoon crushed red pepper flakes', 'Freshly ground black pepper', '12 ounces (2 3/4 cups) uncooked elbow macaroni', '8 ounces grated cheddar cheese (2 generous cups), divided', '4 ounces grated Parmesan cheese (1 1/2 cups), divided']",30 mins,{'N/A': 'N/A'},"['Updated January 30, 2025']",2025-03-22 16:19:13,Dinners
https://www.simplyrecipes.com/honey-popcorn-recipe-7970006,Honey Popcorn,"['2 tablespoons oil, such as canola, avocado, or coconut oil', '1/2 cup (104g) popcorn kernels', '1/2 cup honey', '1/4 cup (56g) salted butter', '1/2 teaspoon kosher salt, optional']",35 mins,{'N/A': 'N/A'},"['Updated February 13, 2025']",2025-03-22 16:19:15,Snacks and Appetizers
https://www.simplyrecipes.com/juicy-baked-chicken-breast-recipe-7969683,Baked Chicken Breasts,"['4 medium boneless, skinless chicken breasts (about 2 pounds total)', '1 tablespoon kosher salt', '1 teaspoon black pepper', '1 tablespoon olive oil']",40 mins,{'N/A': 'N/A'},"['Updated February 26, 2025']",2025-03-22 16:19:17,Dinners
https://www.simplyrecipes.com/chicken-pot-pie-soup-recipe-7968866,Chicken Pot Pie Soup,"['3 tablespoons unsalted butter', '1 large yellow onion, chopped (about 2 cups)', '2 small carrots, chopped (about 1 1/4 cups)', '2 medium ribs celery, sliced (about 1 1/4 cups)', '6 large garlic cloves, chopped (about 2 tablespoons)', '1 1/2 teaspoons kosher salt', '1 teaspoon dried thyme', '3 tablespoons all-purpose flour', '6 cups chicken broth', '2 cups shredded chicken (from 1 rotisserie chicken)', '2 cups chopped red potatoes (about 4 potatoes)', '2 cups frozen peas (from one 16-ounce bag)', '1/2 cup half and half', '2 cups oyster crackers', '1/4 cup olive oil', '1 teaspoon kosher salt', '1 teaspoon dried thyme', '1/4 teaspoon cayenne pepper (optional)']",40 mins,{'N/A': 'N/A'},"['Updated March 07, 2025']",2025-03-22 16:19:19,Dinners
https://www.simplyrecipes.com/stuffed-pepper-soup-recipe-7966642,Stuffed Pepper Soup,"['2 tablespoons olive oil', '1 large yellow onion, chopped (about 2 cups)', '3 cups chopped bell pepper, any color (from 3 bell peppers)', '6 garlic cloves, chopped (about 2 tablespoons)', '2 teaspoons smoked paprika', '1 teaspoon kosher salt', '1 teaspoon ground cumin', '1 pound lean ground beef (85:15)', '1 (15-ounce) can crushed tomatoes', '4 cups beef broth', '1 (8.8-ounce) package precooked microwavable white rice', '6 ounces sharp white Cheddar cheese, shredded (about 1 1/2 cups)', 'Chopped fresh flat-leaf parsley, for serving']",55 mins,{'N/A': 'N/A'},"['Updated January 19, 2024']",2025-03-22 16:19:21,Dinners
https://www.simplyrecipes.com/monster-cookie-recipe-7964107,Monster Cookies,"['1 cup (255g) creamy peanut butter', '1/4 cup unsalted butter, room temperature', '1/2 cup (100g) packed light brown sugar', '1/2 cup (100g) granulated sugar', '2 large eggs, room temperature', '2 teaspoons vanilla extract', '1 teaspoon baking soda', '1/2 teaspoon kosher salt', '3 cups (260g) quick-cooking oats', '1 cup M&Ms', '1 cup semi-sweet chocolate chips']",30 mins,{'N/A': 'N/A'},"['Updated January 04, 2024']",2025-03-22 16:19:22,Desserts
