URL,Title,Ingredients,Cooking Time,Nutrition Facts,Publish Date,Timestamp,Category
https://www.simplyrecipes.com/herbed-carrots-recipe-11703198,The 10-Minute Side Dish I Make as Soon as Spring Arrives,Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Published March 27, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/kimchi-egg-salad-recipe-11702624,I’ve Been Eating This 3-Ingredient Egg Salad Since College,Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Published March 27, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/curried-potatoes-recipe-11700506,The 5-Ingredient Dinner I Make for a Taste of Home,Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Published March 25, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/pork-and-garlic-noodles-recipe-11701185,The 20-Minute Dinner I Make On Repeat,Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Published March 24, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/italian-dressing-chicken-recipe-11698829,The 2-Ingredient Chicken I Make Almost Once a Week,Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Published March 20, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/slow-roasted-salmon-recipe-11699876,"For Perfectly Cooked Salmon Every Time, Use My Easy Recipe","4 (6-ounce) skin-on salmon fillets, 4 teaspoons olive oil, 1/2 teaspoon kosher salt, Freshly ground black pepper, to taste, 4 tablespoons salted butter, 2 small cloves garlic, finely minced, 2 tablespoons freshly-squeezed lemon juice, 1 teaspoon honey or maple syrup, 2 teaspoons finely chopped parsley, optional",35 mins,"Calories: 304, Total Fat 20g: 26%, Saturated Fat 4g: 18%, Cholesterol 80mg: 27%, Sodium 235mg: 10%, Total Carbohydrate 0g: 0%, Dietary Fiber 0g: 1%","Published March 20, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/ranch-chicken-breasts-recipe-11698608,The 4-Ingredient Ranch Chicken My Whole Family Loves,"1/2 cup mayonnaise-based ranch dressing, 1/2 cup grated Parmesan cheese, 4 boneless, skinless chicken breasts (1 1/2 to 2 pounds total), Kosher salt and freshly ground black pepper, to taste, 2 tablespoons dried seasoned breadcrumbs",40 mins,"Calories: 477, Total Fat 23g: 30%, Saturated Fat 6g: 29%, Cholesterol 163mg: 54%, Sodium 746mg: 32%, Total Carbohydrate 6g: 2%, Dietary Fiber 0g: 1%","Published March 19, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/italian-style-tuna-salad-recipe-11698351,"For the Best Tuna Salad, Make It Italian-Style",Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Updated March 25, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/creamy-egg-salad-recipe-11686051,The 3-Ingredient Egg Salad I Can’t Stop Making,Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Published March 17, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/air-fryer-cauliflower-recipe-11696487,The 2-Ingredient Recipe That Made My Kids Love Cauliflower,Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Published March 17, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/meatball-tortellini-pesto-soup-recipe-8788442,The 5-Ingredient Dinner My Husband Goes Ga-Ga For,Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Published March 15, 2025",2025-03-30 01:24:47,DINNERS
https://www.simplyrecipes.com/pickle-roasted-potatoes-recipe-11695383,"For the Best Roasted Potatoes, Add Pickles",Ingredients not found,Unknown cooking time,Nutrition Facts not found,"Published March 14, 2025",2025-03-30 01:24:47,DINNERS
